Class ID,Name
1,Longleaf and slash pines
2,Loblolly and shortleaf pines
3,Other yellow pines
4,Eastern white and red pines
5,Jack pine
6,Spruce and balsam fir
7,Eastern hemlock
8,Cypress
9,Other eastern softwoods
10,Douglas-fir
11,Ponderosa and Jeffrey pines
12,True fir
13,Western hemlock
14,Sugar pine
15,Western white pine
16,Redwood
17,Sitka spruce
18,Engelmann and other spruces
19,Western larch
20,Incense-cedar
21,Lodgepole pine
22,Western redcedar
23,Western woodland softwoods
24,Other western softwoods
25,Select white oaks
26,Select red oaks
27,Other white oaks
28,Other red oaks
29,Hickory
30,Yellow birch
31,Hard maple
32,Soft maple
33,Beech
34,Sweetgum
35,Tupelo and blackgum
36,Ash
37,Cottonwood and aspen
38,Basswood
39,Yellow-poplar
40,Black walnut
41,Other eastern soft hardwoods
42,Other eastern hard hardwoods
43,Eastern noncommercial hardwoods
ps,Western hardwood species grou
44,Cottonwood and aspen
45,Red alder
46,Oak
47,Other western hardwoods
48,Western woodland hardwoods
